topic_id	question_id	question_text
31	1584	гюйнмндюрекэярбн б ятепе нупюмш гднпнбэъ нямнбшбюеряъ мю:
31	1585	йюйсч нрберярбеммнярэ меяер бпюв гю пюгцкюьемхе бпювеамни рюимш?
31	1586	"б йюйху яксвюъу, х я йюйни жекэч ме дносяйюеряъ пюгцкюьемхе ябедемхи, янярюбкъчыху бпювеамсч рюимс?"
31	1587	"б пюлйюу опнцпюллш цнясдюпярбеммшу цюпюмрхи аеяокюрмнцн нйюгюмхъ цпюфдюмюл ледхжхмяйни онлных опеднярюбкъеряъ онлныэ, гю хяйкчвемхел:"
31	1588	нямнбмюъ гюдювю опнцпюллш цнясдюпярбеммшу цюпюмрхи нйюгюмхъ цпюфдюмюл аеяокюрмни ледхжхмяйни онлных:
31	1589	назейрнл нля ъбкъеряъ:
31	1590	ярпюунбне наеяоевемхе он нля √ щрн:
31	1591	пюгбхрхе яхярелш наъгюрекэмнцн ледхжхмяйнцн ярпюунбюмхъ б цнпнде лняйбе нясыеярбкъеряъ:
31	1592	"йюйсч нрберярбеммнярэ меяер ледхжхмяйхи пюанрмхй, опхвхмхбьхи сыепа оюжхемрс, ме ябъгюммши я меапефмшл нрмньемхел ледпюанрмхйю й опнтеяяхнмюкэмшл наъгюммняръл?"
31	1593	юрреярюжхъ бпювеамнцн оепянмюкю опнбндхряъ я жекэч:
31	1594	яепрхтхйюр яоежхюкхярю:
31	1595	яоежхюкэмнярэ √ щрн:
31	1596	опх хгсвемхх наыеи гюанкебюелнярх (он дюммшл юласкюрнпмн-онкхйкхмхвеяйху нпцюмхгюжхи) хяонкэгсеряъ:
31	1597	япедмее вхякн опеашбюмхъ анкэмнцн б ярюжхнмюпе нопедекъеряъ якедсчыхл напюгнл:
31	1598	нанпнр йнийх нопедекъеряъ якедсчыхл нрмньемхел:
31	1599	онйюгюрекэ ухпспцхвеяйни юйрхбмнярх б ярюжхнмюпе √ щрн:
31	1600	цхонтхг пюяонкюцюеряъ
32	1601	леярнл яхмрегю х яейпежхх рпномшу цнплнмнб ъбкъчряъ йкерйх
32	1602	б оепедмеи днке цхонтхгю бшпюаюршбюеряъ
32	1603	бюгнопеяяхм яхмрегхпсеряъ
32	1604	яейпежхч янлюрнрпномнцн цнплнмю ондюбкъер
32	1605	нопедекемхе спнбмъ хмяскхмнонднамнцн тюйрнпю пнярю -1 (янлюрнледхмю я) онгбнкъер ясдхрэ
32	1606	нямнбмшл ахнкнцхвеяйхл деиярбхел опнкюйрхмю ъбкъеряъ:
32	1607	хгашрнвмюъ опндсйжхъ опнкюйрхмю:
32	1608	пецскъжхъ яейпежхх юйрц он опхмжхос нрпхжюрекэмни напюрмни ябъгх нясыеярбкъеряъ вепег
32	1609	"ыхрнбхдмюъ фекегю, онлхлн рхпнйяхмю, бшпюаюршбюер -"
32	1610	"яйпхмхмцнбшл онйюгюрекел, сйюгшбючыхл мю мюпсьемхе тсмйжхх ыхрнбхдмни фекегш, ъбкъеряъ:"
32	1611	мюханкее рнвмшлх лерндюлх нжемйх тсмйжхнмюкэмни юйрхбмнярх ыхрнбхдмни фекегш ъбкъчряъ:
32	1612	онбшьеммши спнбемэ йюкэжхрнмхмю б йпнбх ъбкъеряъ люпйепнл
32	1613	юмрхрекю й пежеорнпс ррц ъбкъчряъ яоежхтхвеяйхл люпйепнл:
32	1614	тсмйжхнмюкэмюъ юбрнмнлхъ сгкю ыхрнбхдмни фекегш - щрн
32	1615	дкъ скэрпюгбсйнбни нжемйх яреоемх гкнйювеярбеммнярх сгкнбнцн напюгнбюмхъ хяонкэгсеряъ йкюяяхтхйюжхъ
32	1616	"рхо сгкнбшу напюгнбюмхи (он йкюяяхтхйюжхх ╚TIRADS╩), опх йнрнпнл пхяй пюйю ыхрнбхдмни фекегш ярпелхряъ й мскч, √"
32	1617	"дхюцмнярхвеяйхл лернднл, онгбнкъчыхл нопедекърэ индмюйнохрекэмсч юйрхбмнярэ х пюяонкнфемхе ыхрнбхдмни фекегш ъбкъеряъ:"
32	1618	оНЙЮГЮМХЕЛ ДКЪ ОПНБЕДЕМХЪ РНМЙНХЦНКЭМНИ ЮЯОХПЮЖХНММНИ АХНОЯХХ ЫХРНБХДМНИ фекегш ЪБКЪЕРЯЪ МЮКХВХЕ:
32	1619	дкъ жхрнкнцхвеяйнцн гюйкчвемхъ опх сгкнбнл гнае пейнлемдсеряъ хяонкэгнбюмхе йкюяяхтхйюжхх:
